participant,group,item,type,clause,gap,condition,judgment,rt,proficiency
L1_01,L1_English,1,critical_wanna,2,1,c,0,0.5055511,48
L1_01,L1_English,1,filler_ellipsis,1,2,VPE-A,1,1.323871136,48
L1_01,L1_English,1,filler_null,na,na,null_object,0,0.706189871,48
L1_01,L1_English,1,filler_ungrammatical,na,na,na,0,0.187508106,48
L1_01,L1_English,2,critical_wanna,2,2,d,1,2.593488932,48
L1_01,L1_English,2,filler_ellipsis,2,2,Gapping-A,0,1.073195934,48
L1_01,L1_English,2,filler_null,na,na,no_null,1,1.223376989,48
L1_01,L1_English,2,filler_ungrammatical,na,na,na,0,1.374390125,48
L1_01,L1_English,3,critical_wanna,1,1,a,1,0.806372881,48
L1_01,L1_English,3,filler_ellipsis,1,1,VPE-C,1,30.51977801,48
L1_01,L1_English,3,filler_null,na,na,null_subject,1,32.0073719,48
L1_01,L1_English,3,filler_ungrammatical,na,na,na,0,1.275182962,48
L1_01,L1_English,4,critical_wanna,1,2,b,0,2.407079935,48
L1_01,L1_English,4,filler_ellipsis,2,1,Gapping-C,0,2.694329977,48
L1_01,L1_English,4,filler_null,na,na,null_object,0,1.123644114,48
L1_01,L1_English,4,filler_ungrammatical,na,na,na,0,0.271226883,48
L1_01,L1_English,5,critical_wanna,2,1,c,0,0.266847134,48
L1_01,L1_English,5,filler_ellipsis,1,2,VPE-A,1,0.438868046,48
L1_01,L1_English,5,filler_null,na,na,no_null,1,0.134789944,48
L1_01,L1_English,5,filler_ungrammatical,na,na,na,0,0.204241037,48
L1_01,L1_English,6,critical_wanna,2,2,d,1,1.708347082,48
L1_01,L1_English,6,filler_ellipsis,2,2,Gapping-A,0,0.004053116,48
L1_01,L1_English,6,filler_null,na,na,null_subject,0,5.518791914,48
L1_01,L1_English,6,filler_ungrammatical,na,na,na,0,1.458365917,48
L1_01,L1_English,7,critical_wanna,1,1,a,1,4.014741182,48
L1_01,L1_English,7,filler_ellipsis,1,1,VPE-C,1,0.619011879,48
L1_01,L1_English,7,filler_null,na,na,null_object,0,0.337952137,48
L1_01,L1_English,8,critical_wanna,1,2,b,0,0.203979015,48
L1_01,L1_English,8,filler_ellipsis,2,1,Gapping-C,1,1.859387875,48
