"participant","proficiency","condition","N","judgment","sd","se","ci"
"L2_01",44,"If_No_gap",5,80,44.7213595499958,20,55.5289021039559
"L2_01",44,"If_Gap",5,0,0,0,0
"L2_01",44,"Who_No_gap",5,0,0,0,0
"L2_01",44,"Who_Gap",4,50,57.7350269189626,28.8675134594813,91.8693115518539
"L2_02",26,"If_No_gap",5,100,0,0,0
"L2_02",26,"If_Gap",5,40,54.7722557505166,24.4948974278318,68.0087380658256
"L2_02",26,"Who_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_02",26,"Who_Gap",5,100,0,0,0
"L2_03",45,"If_No_gap",5,100,0,0,0
"L2_03",45,"If_Gap",3,66.6666666666667,57.7350269189626,33.3333333333333,143.421757658315
"L2_03",45,"Who_No_gap",3,0,0,0,0
"L2_03",45,"Who_Gap",5,100,0,0,0
"L2_04",30,"If_No_gap",5,100,0,0,0
"L2_04",30,"If_Gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_04",30,"Who_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_04",30,"Who_Gap",5,80,44.7213595499958,20,55.5289021039559
"L2_05",47,"If_No_gap",5,100,0,0,0
"L2_05",47,"If_Gap",5,0,0,0,0
"L2_05",47,"Who_No_gap",5,0,0,0,0
"L2_05",47,"Who_Gap",5,100,0,0,0
"L2_06",44,"If_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_06",44,"If_Gap",5,0,0,0,0
"L2_06",44,"Who_No_gap",5,0,0,0,0
"L2_06",44,"Who_Gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_07",42,"If_No_gap",5,100,0,0,0
"L2_07",42,"If_Gap",5,0,0,0,0
"L2_07",42,"Who_No_gap",5,0,0,0,0
"L2_07",42,"Who_Gap",5,100,0,0,0
"L2_09",16,"If_No_gap",5,100,0,0,0
"L2_09",16,"If_Gap",5,100,0,0,0
"L2_09",16,"Who_No_gap",5,100,0,0,0
"L2_09",16,"Who_Gap",5,100,0,0,0
"L2_10",21,"If_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_10",21,"If_Gap",4,50,57.7350269189626,28.8675134594813,91.8693115518539
"L2_10",21,"Who_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_10",21,"Who_Gap",5,20,44.7213595499958,20,55.5289021039559
"L2_11",29,"If_No_gap",5,80,44.7213595499958,20,55.5289021039559
"L2_11",29,"If_Gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_11",29,"Who_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_11",29,"Who_Gap",5,100,0,0,0
"L2_12",37,"If_No_gap",5,80,44.7213595499958,20,55.5289021039559
"L2_12",37,"If_Gap",5,80,44.7213595499958,20,55.5289021039559
"L2_12",37,"Who_No_gap",5,40,54.7722557505166,24.4948974278318,68.0087380658256
"L2_12",37,"Who_Gap",5,100,0,0,0
"L2_13",28,"If_No_gap",5,80,44.7213595499958,20,55.5289021039559
"L2_13",28,"If_Gap",5,20,44.7213595499958,20,55.5289021039559
"L2_13",28,"Who_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_13",28,"Who_Gap",5,80,44.7213595499958,20,55.5289021039559
"L2_14",34,"If_No_gap",5,20,44.7213595499958,20,55.5289021039559
"L2_14",34,"If_Gap",5,20,44.7213595499958,20,55.5289021039559
"L2_14",34,"Who_No_gap",5,20,44.7213595499958,20,55.5289021039559
"L2_14",34,"Who_Gap",5,40,54.7722557505166,24.4948974278318,68.0087380658256
"L2_15",24,"If_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_15",24,"If_Gap",5,40,54.7722557505166,24.4948974278318,68.0087380658256
"L2_15",24,"Who_No_gap",4,75,50,25,79.5611576320927
"L2_15",24,"Who_Gap",5,80,44.7213595499958,20,55.5289021039559
"L2_16",42,"If_No_gap",5,100,0,0,0
"L2_16",42,"If_Gap",4,100,0,0,0
"L2_16",42,"Who_No_gap",4,0,0,0,0
"L2_16",42,"Who_Gap",5,100,0,0,0
"L2_17",16,"If_No_gap",5,100,0,0,0
"L2_17",16,"If_Gap",5,100,0,0,0
"L2_17",16,"Who_No_gap",5,80,44.7213595499958,20,55.5289021039559
"L2_17",16,"Who_Gap",5,80,44.7213595499958,20,55.5289021039559
"L2_18",17,"If_No_gap",5,100,0,0,0
"L2_18",17,"If_Gap",5,100,0,0,0
"L2_18",17,"Who_No_gap",4,100,0,0,0
"L2_18",17,"Who_Gap",4,100,0,0,0
"L2_19",26,"If_No_gap",5,60,54.7722557505166,24.4948974278318,68.0087380658256
"L2_19",26,"If_Gap",5,100,0,0,0
"L2_19",26,"Who_No_gap",4,75,50,25,79.5611576320927
"L2_19",26,"Who_Gap",5,100,0,0,0
"L2_20",36,"If_No_gap",2,50,70.7106781186548,50,635.310236808735
"L2_20",36,"If_Gap",3,0,0,0,0
"L2_20",36,"Who_No_gap",3,33.3333333333333,57.7350269189626,33.3333333333333,143.421757658315
"L2_20",36,"Who_Gap",4,50,57.7350269189626,28.8675134594813,91.8693115518539
